ra,dec
131.12991,0.11139
128.47116,-0.39016999999999996
129.5397,-0.19462000000000002
129.07095,-0.5145
129.37055,-0.053720000000000004
129.91676,-0.3362
129.14032,0.49563
224.72632000000002,-1.01272
225.0093,-0.80635
224.65565,-1.1024399999999999
223.21141,-2.0364
223.05836000000002,-1.98489
224.3296,-1.49892
223.81185,-1.57471
223.98678999999998,-1.4502
223.61467000000002,-1.1842700000000002
222.2508,-1.53652
221.85644,-0.55652
221.86612999999997,-0.50941
222.31267000000003,-0.7021
221.02652999999998,-1.8911200000000001
221.36319,-1.9806099999999998
221.39317000000003,-2.01136
220.02776,-1.02093
220.1928,-0.73468
220.42882000000003,-0.65752
217.87568,-1.5318399999999999
220.31956,-0.59283
217.96066000000002,-1.9155799999999998
219.68941,-0.7057399999999999
218.49037,-1.60944
218.63293,-1.92327
217.05006,-1.60481
217.78703,-1.77414
216.67459,-1.8560900000000002
217.22371,-1.18825
215.73797000000002,-1.44183
216.18462000000002,-0.57631
215.5347,-1.04267
216.33096,-0.53363
216.52469,-0.88328
216.4032,-1.11333
214.06865,-0.77198
214.21672,-1.7317
214.44252999999998,-0.7226199999999999
215.08497999999997,-0.91989
215.25437999999997,-1.00231
213.70087,-2.01198
212.76521,-1.0167
213.74246000000002,-0.75327
211.84843999999998,-1.58651
211.6399,-1.98053
213.47579,-0.99518
211.82478999999998,-1.50363
212.57084,-0.56958
212.43188999999998,-1.8588799999999999
212.11651,-1.7811099999999997
210.08597000000003,-1.43943
210.62758,-1.42941
210.89845,-1.52893
210.71007999999998,-1.8003099999999999
211.17487000000003,-1.37425
211.12331,-1.24559
211.05977000000001,-1.22611
210.2366,-1.20905
211.2851,-0.64735
211.32197000000002,-0.82699
211.26518,-0.69855
210.47471000000002,-1.34291
209.51398999999998,-1.54389
209.71475,-0.8911600000000001
210.04731,-0.8052699999999999
183.16556,-0.8165
182.3007,-1.88665
180.7459,-1.6722400000000002
180.72677,-1.6679599999999999
180.63334,-1.62229
180.66471,-1.87156
180.647,-1.84528
180.14571999999998,-1.38846
180.41871,-1.20433
180.34447,-1.1871
178.84663,-1.5331299999999999
179.75552,-1.8056599999999998
181.23154,-0.6956600000000001
179.01481,-1.48386
179.83068,-1.69147
179.56968,-1.4892100000000001
179.63351,-1.85789
179.93148,-0.77271
